"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"R39,R38,R40,R37,R41,R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"51kΩ";;;
2;"NE1,NE2";"neon_lamp";2;"90V 0.3mA";;;
3;"IC4,IC2";"QFP80P1390X1390X235-44N";2;"HV5530PG-G";;;
4;"C28,C7,C25,C16,C5,C26,C24,C6,C4,C10,C22,C19,C9,C15,C14,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";16;"100nF 25V";;;
5;"C2,C23";"C_2220_5750Metric_Pad1.97x5.40mm_HandSolder";2;"2.2uF 250 V";;;
6;"R13,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100Ω";;;
7;"Q4,Q5,Q2,Q6,Q3,Q7";"SOT96P240X110-3N";6;"DMN60H080DS-13";;;
8;"IC8";"SOT65P210X110-6N";1;"MCP4018T-502E_LT";;;
9;"IC1";"SOP65P490X110-8N";1;"LM3488MM";;;
10;"R34,R29,R24,R26,R32,R30,R35,R18,R7,R17,R20,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"10k";;;
11;"N1,N4,N5,N6,N2,N3";"Z570M";6;"Z570M";;;
12;"+HV1";"TestPoint_Pad_D2.0mm";1;"+HV";;;
13;"IC3";"SOT65P280X110-8N";1;"TPS563219ADDFR";;;
14;"R4,R42,R43,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"5.1kΩ";;;
15;"R12";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2.49MΩ";;;
16;"+12V1";"TestPoint_Pad_D2.0mm";1;"+12V";;;
17;"C11";"C0805";1;"12pF 16V";;;
18;"IC7";"AP736333D13";1;"AP7363-33D-13";;;
19;"IC6";"SOIC127P780X200-16N";1;"CD40109BQNSRQ1";;;
20;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"56kΩ";;;
21;"ENC1";"PEC12R41BBFS0012";1;"RotaryEncoder_Switch";;;
22;"GND1";"TestPoint_Pad_D2.0mm";1;"GND";;;
23;"C27,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF 25V";;;
24;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0Ω";;;
25;"R2,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10kΩ";;;
26;"R10,R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1MΩ";;;
27;"+5V1";"TestPoint_Pad_D2.0mm";1;"+5V";;;
28;"D4";"DFN-1610-2";1;"WE-TVS 824045812";;;
29;"C17,C18";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF 10V";;;
30;"+3.3V1";"TestPoint_Pad_D2.0mm";1;"+3.3V";;;
31;"D2";"DIOM5227X260N";1;"ES1G";;;
32;"Q8";"TPHR6503PL1LQ";1;"TPH5200FNH,L1Q";;;
33;"D6";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.6V";;;
34;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"220pF 50V";;;
35;"D5";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"CDBUR0520";;;
36;"Q1";"SSM3K35AMFVL3F";1;"SSM3K35AMFV,L3F";;;
37;"R28,R23,R44,R22,R25,R31,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"35.7kΩ";;;
38;"L2";"L_12x12mm_H6mm";1;"180uH 0.9A 6.3mΩ";;;
39;"D1,D3";"SON50P100X250X50-10N";2;"PUSB3AB4Z";;;
40;"C20,C21";"CAPPM7344X310N";2;"100uF 16V";;;
41;"L1";"SRP5030CA4R7M";1;"2.2uH 9.7A";;;
42;"J5";"PinHeader_1x03_P2.54mm_Horizontal";1;"Goldpin 3pin";;;
43;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
44;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"75mΩ";;;
45;"C1,C29";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF 10V";;;
46;"R27,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"390kΩ 1/2W";;;
47;"J2";"JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal";1;"JST XH 2.54 3 pin";;;
48;"LS1";"CEM-1203_42_";1;"CEM-1203_42_";;;
49;"J1";"PJ094HSMTTR";1;"PJ-094H-SMT-TR";;;
50;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"14.3kΩ";;;
51;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
52;"J3";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
