Designator,Footprint,Quantity,Value,LCSC Part #
+12V1,TestPoint_Pad_D2.0mm,1,+12V,
+3.3V1,TestPoint_Pad_D2.0mm,1,+3.3V,
+5V1,TestPoint_Pad_D2.0mm,1,+5V,
+HV1,TestPoint_Pad_D2.0mm,1,+HV,
"C1, C29",0805,2,22uF 10V,
"C10, C14, C15, C16, C19, C22, C24, C25, C26, C28, C3, C30, C4, C5, C6, C7, C8, C9",0805,18,100nF 25V,
C11,C0805,1,12pF 16V,
C12,0805,1,220pF 50V,
C13,0805,1,10pF 25V,
"C17, C18",0805,2,10uF 10V,
"C2, C23",2220,2,2.2uF 250 V,
"C20, C21",CAPPM7344X310N,2,100uF 16V,
C27,0805,1,10nF 25V,
"D1, D3",SON50P100X250X50-10N,2,PUSB3AB4Z,
D2,DIOM5227X260N,1,ES1G,
D4,DFN-1610-2,1,WE-TVS 824045812,
D5,0603,1,CDBUR0520,
D6,0805,1,3.6V,
ENC1,PEC12R41BBFS0012,1,RotaryEncoder_Switch,
GND1,TestPoint_Pad_D2.0mm,1,GND,
IC1,SOP65P490X110-8N,1,LM3488MM,
"IC2, IC4",QFP80P1390X1390X235-44N,2,HV5530PG-G,
IC3,SOT65P280X110-8N,1,TPS563219ADDFR,
IC6,SOIC127P780X200-16N,1,CD40109BQNSRQ1,
IC7,AP736333D13,1,AP7363-33D-13,
IC8,SOT65P210X110-6N,1,MCP4018T-103E/LT,
J1,PJ094HSMTTR,1,PJ-094H-SMT-TR,
J2,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,JST XH 2.54 3 pin,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Goldpin 3pin,
L1,SRP5030CA4R7M,1,2.2uH 9.7A,
L2,L_12x12mm_H6mm,1,180uH 0.9A 6.3mΩ,
LS1,CEM-1203_42_,1,CEM-1203_42_,
"N1, N2, N3, N4, N5, N6",Z570M,6,Z570M,
"NE1, NE2",neon_lamp,2,90V 0.3mA,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",SOT96P240X110-3N,7,DMN60H080DS-13,
Q8,TPHR6503PL1LQ,1,"TPH5200FNH,L1Q",
R1,0805,1,56kΩ,
"R10, R15",1206,2,1MΩ,
R11,0805,1,14.3kΩ,
R12,1206,1,2.49MΩ,
"R13, R6",0805,2,100Ω,
R14,0805,1,75mΩ,
"R16, R2",0805,2,10kΩ,
"R17, R18, R19, R20, R24, R26, R29, R30, R32, R34, R35, R45, R7, R8, R9",0805,15,10k,
"R21, R27",0805,2,390kΩ 1/2W,
"R22, R23, R25, R28, R31, R33, R44",0805,7,35.7kΩ,
"R3, R4, R42, R43",0805,4,5.1kΩ,
"R36, R37, R38, R39, R40, R41",0805,6,51kΩ,
R5,0805,1,0Ω,
SW1,B3U1000PM,1,SW_EN,
SW2,B3U1000PM,1,SW_GPIO0,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
