Designator,Mid X,Mid Y,Rotation,Layer
C1,207.225,-99.15,270.0,bottom
C10,109.15,-86.125,270.0,bottom
C11,106.05,-79.9,90.0,bottom
C12,99.725,-90.35,0.0,top
C13,118.75,-91.725,0.0,bottom
C14,147.15,-80.275,0.0,bottom
C15,161.3,-76.7,0.0,bottom
C16,93.55,-87.15,270.0,top
C17,200.85,-79.378,90.0,top
C18,200.05,-79.0,270.0,bottom
C19,196.275,-79.05,90.0,bottom
C2,102.0,-79.5,90.0,top
C20,128.45,-92.5,0.0,bottom
C21,145.325,-92.5,180.0,bottom
C22,136.95,-91.6,270.0,bottom
C23,110.025,-79.5,90.0,top
C24,220.25,-90.275,0.0,top
C25,204.3,-79.378,270.0,top
C26,202.5,-83.875,0.0,top
C27,208.775,-90.9,180.0,top
C28,187.5,-80.878,180.0,top
C29,202.7,-99.225,270.0,bottom
C3,198.25,-93.828,0.0,bottom
C30,204.625,-84.875,0.0,bottom
C4,163.4,-91.1,180.0,bottom
C5,204.875,-88.275,180.0,bottom
C6,146.5,-120.65,90.0,top
C7,165.1,-120.65,90.0,top
C8,131.75,-120.7,90.0,bottom
C9,180.7,-120.6,90.0,bottom
D1,210.25,-86.725,0.0,bottom
D2,116.35,-79.805,90.0,top
D3,168.5,-88.925,270.0,bottom
D4,138.675,-85.49,270.0,top
D5,91.45,-91.4,180.0,top
D6,188.1,-92.8,90.0,top
ENC1,155.3,-84.428,180.0,top
IC1,106.95,-91.1,0.0,top
IC2,180.45,-115.35,270.0,top
IC3,202.8,-88.25,0.0,top
IC4,131.5,-115.35,270.0,top
IC6,155.9,-118.028,270.0,top
IC7,194.625,-85.425,180.0,top
IC8,95.45,-82.65,0.0,top
J1,139.25,-80.4405,270.0,bottom
J2,219.2,-86.278,0.0,bottom
J3,211.85,-77.288,180.0,bottom
J5,168.525,-79.473,90.0,bottom
L1,205.2,-93.425,270.0,bottom
L2,123.2,-80.878,0.0,bottom
LS1,93.875795,-87.428,0.0,bottom
N1,214.45,-104.928,180.0,top
N2,195.45,-104.928,180.0,top
N3,165.45,-104.928,180.0,top
N4,146.45,-104.928,180.0,top
N5,116.45,-104.928,180.0,top
N6,97.45,-104.928,180.0,top
NE1,180.05,-104.928,0.0,top
NE2,131.35,-104.928,180.0,top
Q1,93.225,-95.95,90.0,bottom
Q2,214.35,-94.778,270.0,top
Q3,195.45,-94.778,270.0,top
Q4,165.45,-94.778,270.0,top
Q5,146.39,-94.778,270.0,top
Q6,116.45,-94.778,270.0,top
Q7,97.35,-94.778,270.0,top
Q8,115.35,-88.5,270.0,top
R1,208.65,-84.275,180.0,top
R10,101.8,-86.525,0.0,top
R11,101.45,-90.475,270.0,bottom
R12,102.925,-85.55,0.0,bottom
R13,107.45,-86.375,90.0,top
R14,109.6,-91.828,0.0,bottom
R15,186.6,-107.2,180.0,bottom
R16,187.125,-103.325,0.0,bottom
R17,155.3,-83.125,0.0,bottom
R18,152.15,-79.425,0.0,bottom
R19,147.15,-76.975,0.0,bottom
R2,208.75,-87.625,0.0,top
R20,159.725,-79.7,180.0,bottom
R21,180.05,-106.828,90.0,bottom
R22,203.325,-105.225,90.0,bottom
R23,206.925,-105.225,90.0,bottom
R24,198.95,-94.828,270.0,top
R25,165.45,-97.528,270.0,bottom
R26,168.75,-94.828,270.0,top
R27,131.45,-97.628,270.0,bottom
R28,146.35,-97.728,270.0,bottom
R29,217.75,-94.828,270.0,top
R3,211.825,-77.275,90.0,bottom
R30,149.65,-94.828,90.0,top
R31,116.42,-97.64,270.0,bottom
R32,119.85,-94.828,270.0,top
R33,102.725,-97.775,270.0,bottom
R34,100.95,-94.828,270.0,top
R35,98.3,-96.025,90.0,bottom
R36,210.95,-94.828,270.0,top
R37,191.85,-94.828,270.0,top
R38,162.05,-94.828,270.0,top
R39,142.85,-94.828,270.0,top
R4,211.875,-79.375,90.0,top
R40,112.95,-94.828,270.0,top
R41,93.95,-94.828,270.0,top
R42,91.125,-83.375,90.0,top
R43,100.925,-78.15,180.0,bottom
R44,110.525,-81.575,180.0,bottom
R45,203.75,-78.925,90.0,bottom
R5,100.825,-81.65,0.0,bottom
R6,215.825,-87.75,180.0,top
R7,155.15,-88.0,90.0,bottom
R8,163.325,-88.3,180.0,bottom
R9,198.25,-97.325,180.0,bottom
SW1,198.325,-85.425,0.0,bottom
SW2,198.35,-89.95,180.0,bottom
U1,182.5,-86.468,0.0,bottom
